"time{s}","TurningAngularVel\system\BodyAngle\plot{rad}","TurningAngularVel\system\BodyAngularVel\plot{rad/s}","TurningAngularVel\system\MotorLAngle\plot","TurningAngularVel\system\BodyX\input","TurningAngularVel\system\BodyY\input","TurningAngularVel\system\TurningAngle\input","TurningAngularVel\system\BodyAngle\input{rad}","TurningAngularVel\system\BodyZ\input","TurningAngularVel\system\MotorRAngle\plot","TurningAngularVel\system\WheelMass\state","TurningAngularVel\system\WheelMass1\state"
1.292,-0.643719225835672,-6.24055938749827,2.22914762283374,-0.0606983809670383,0.11414511320432,3.56533187825793e-18,-0.643719225835672,-5.54957588484841e-19,-2.22914762283374,-0.120747720130697,-0.120747720130697
1.293,-0.649999620935307,-6.28039509963504,2.24427126232646,-0.061101529608475,0.113794222624372,4.70741777363721e-18,-0.649999620935307,-5.53062052524843e-19,-2.24427126232646,-0.12106121965434,-0.12106121965434
1.294,-0.656319853565363,-6.32023263005641,2.25940923797556,-0.0615061800682127,0.113438177600751,5.92417557345339e-18,-0.656319853565363,-5.50664803491299e-19,-2.25940923797556,-0.121367626026911,-0.121367626026911
1.295,-0.662679923566994,-6.3600700016305,2.27456027468831,-0.0619123420609916,0.113076937093856,6.98235432926698e-18,-0.662679923566994,-5.47828836773333e-19,-2.27456027468831,-0.121666819576522,-0.121666819576522
1.296,-0.669079828888368,-6.3999053213739,2.28972307821326,-0.0623200254685747,0.112710460491377,8.25479575954036e-18,-0.669079828888368,-5.44463493603553e-19,-2.28972307821326,-0.121958681234806,-0.121958681234806
1.297,-0.675519565671202,-6.43973678283438,2.30489633516664,-0.0627292403389664,0.112338707623208,9.4161056421213e-18,-0.675519565671202,-5.40612997874392e-19,-2.30489633516664,-0.122243092572044,-0.122243092572044
1.298,-0.681999128339601,-6.47956266839893,2.32007871306237,-0.0631399968855846,0.111961638776189,1.01255296483379e-17,-0.681999128339601,-5.36521564620991e-19,-2.32007871306237,-0.122519935830721,-0.12251993583072
1.299,-0.688518509691126,-6.51938135152476,2.33526886034547,-0.0635523054863901,0.111579214708686,1.09746485898407e-17,-0.688518509691126,-5.31996622617688e-19,-2.33526886034547,-0.122789093957452,-0.122789093957452
1.3,-0.695077700990024,-6.55919129889152,2.35046540642871,-0.063966176682975,0.111191396664986,1.1406514945888e-17,-0.695077700990024,-5.2727308822578e-19,-2.35046540642871,-0.12305045063325,-0.12305045063325
1.3,-0.695077700990024,-6.55919129889152,2.35046540642871,-0.063966176682975,0.111191396664986,1.1406514945888e-17,-0.695077700990024,-5.2727308822578e-19,-2.35046540642871,-0.12305045063325,-0.12305045063325
